artist,genre,year
GUYY,Pop,2020
HALCYON,Pop,2020
Hens Solo,Pop,2020
Het Universumpje,Rock,2020
Hey Team,Indie,2020
Honingbeer,Ambient,2020
INDIANAH,Pop,2020
Inge Lamboo,Pop,2020
Irrelephant,Folk,2020
JASONWATERFALLS,Rock,2020
Jessy Yasmeen,Indie,2020
Joost Dijkema,Americana,2020
Josephine Odhil,Indie,2020
Juan Juan,Alternative,2020
Kayleigh Beard,Electro,2020
KEES,Singer/songwriter,2020
KELSEY,Metal,2020
Klaplong,Garage,2020
Klaplong,Garage,2020
KOWNU,Alternative,2020
kretzschクレツ,Trip hop,2020
KUZKO,Pop,2020
KWINI,Funk,2020
KY.,Singer/songwriter,2020
Las Medicinas,Zuid-Amerikaans,2020
Lauringer,Pop,2020
LE MOTAT,Indie,2020
LIONSTORM,Hip Hop,2020
LowaddictsSoundsystem,Electronica,2020
Luna Morgenstern,Electronica,2020
M. Lucky,Pop,2020
MADOUX,Indie,2020
Magic Tom & Yuri,Kleinkunst,2020
MARTH,Electro,2020
MAYLEAF,Alternative,2020
MEIRA,Alternative,2020
Melle,Folk,2020
Melle Jutte,Electronica,2020
Micah & Julia,Pop,2020
Microwolf,Singer/songwriter,2020
Milan Mes,Jazz,2020
MILO,Alternative,2020
MINKA,Pop,2020
Minor Citizen,Rock,2020
Mo Bedick,Psychedelic,2020
More Ease,Hip Hop,2020
Mountain Eye,Metal,2020
Mt. Atlas,Stonerrock,2020
Mystic,Hip Hop,2020
NESS,Hip Hop,2020
nobuka,Ambient,2020
OJAM,Funk,2020
OKRA,Pop,2020
Philippine,Pop,2020
PIZZA KNIFE,Punk,2020
POM,Indie,2020
Port Patrol,Electronica,2020
Power to the Pipo,Funk,2020
Prestcold Molly,Rock,2020
Psychotic Lumberjacks,Alternative,2020
Renée Spijker,Folk,2020
Roodnoot,Folk,2020
Rude Radiation,Ska,2020
Sammie Sedano,Hip Hop,2020
Severin Bells,Garage,2020
Sexy Pigeon,Pop,2020
Show Pony,Indie,2020
SiNNiWAVi,Hip Hop,2020
Smitty,Hip Hop,2020
Socks;SportsSocks,Indie,2020
SØWT,Alternative,2020
Starfish,Pop,2020
Stella,Alternative,2020
Stupid Bloody Tuesday,Alternative,2020
SULTAN.,Rock,2020
Sured,Pop,2020
Susann.,Electronica,2020
The Bad Tones,Rock,2020
The Ballet Bombs,Garage,2020
The Desmonds,Garage,2020
THE HECK,Garage,2020
The PeTeRLeeS,Punk,2020
The Young River,Country,2020
Them Dirty Dimes,Roots,2020
THYRZA,Nederlandstalig,2020
to live among wolves,Punk,2020
Total Seclusion,Punk,2020
VAIN LOUIE,Metal,2020
VoidFare,Alternative,2020
VULVA,Stonerrock,2020
Willie Darktrousers,Pop,2020
Windup Space,Emo,2020
XIM,Electro,2020
XIO,R&B,2020
Zoë Low,Pop,2020
Zoe Reddy,Electronica,2020
Zoë-Jadha,Hip Hop,2020
ZULU GREEN,R&B,2020
Abel,Hip Hop,2021
ACOUSTIC ASSHOLE,Nederlandstalig,2021
Alison Jutta,Pop,2021
Andy & the Antichrist,Punk,2021
ANNNA,Pop,2021
atoomclub,Drone,2021
Bahghi,R&B,2021
Casey's Call,Indie,2021
Cashmyra,Punk,2021
Changing Tides,Metal,2021
CLOUDSURFERS,Garage,2021
DADA,Hip Hop,2021
Deveron,Punk,2021
Diogo Carriço,Electronica,2021
Douwe Doorduin,Pop,2021
Een Kasper,Singer/songwriter,2021
Ellij,Alternative,2021
FOSS,Indie,2021
Frontstreet,Alternative,2021
Géonne Hartman,Indie,2021
GINGE,R&B,2021
GIRLSGIRLSGIRLS,Rock,2021
Graeme James,Folk,2021
GUYY,Pop,2021
HALCYON,Alternative,2021
Hey Team,Indie,2021
Honingbeer,Ambient,2021
Indigo Pastel,Indie,2021
Inferum,Metal,2021
Jadi D,Hip Hop,2021
JASONWATERFALLS,Rock,2021
Jessy Yasmeen,Indie,2021
Joey's Midnight Club,Rock,2021
Josephine Odhil,Indie,2021
Josimar Gomes,Hip Hop,2021
Juan Juan,Alternative,2021
Kalaallit Nunaat,Noise,2021
KEES,Singer/songwriter,2021
kretzschクレツ,Trip hop,2021
KUZKO,Pop,2021
Kwame Drews,Pop,2021
KY.,Singer/songwriter,2021
LE MOTAT,Indie,2021
Leah Rye,Alternative,2021
Liza Weald,Folk,2021
Loupe,Indie,2021
LUCAS,Nederlandstalig,2021
Lucky Blue,Rock,2021
Luna Morgenstern,Pop,2021
M. Lucky,Alternative,2021
Max Poolman,Americana,2021
MAYLEAF,Rock,2021
MEAU,Pop,2021
Melle,Indie,2021
Melle Jutte,Soul,2021
Micah & Julia,Pop,2021
MINKA,Pop,2021
Minor Citizen,Rock,2021
More Ease,Hip Hop,2021
Mt. Atlas,Rock,2021
NABER,Electronica,2021
Nana M. Rose,Pop,2021
Neil Hollyn,Pop,2021
Nicolaas,Pop,2021
Noa Lauryn,R&B,2021
NONCHELANGE,Indie,2021
ParHasard,R&B,2021
Philine,Pop,2021
POM,Indie,2021
Power to the Pipo,Funk,2021
Prestcold Molly,Rock,2021
puntjudith,Nederlandstalig,2021
Rites,Punk,2021
Roos Meijer,Folk,2021
Sammie Sedano,Hip Hop,2021
Show Pony,Indie,2021
SIGNE DØ,Pop,2021
Socks;SportsSocks,Indie,2021
SOME,R&B,2021
Son de Aqui,Mistizo,2021
SØWT,Rock,2021
Stella,Alternative,2021
SULTAN.,Rock,2021
The Ballet Bombs,Garage,2021
The Desmonds,Garage,2021
THE GREAT HURRICANE ESCAPE,Metal,2021
Them Dirty Dimes,Roots,2021
Throwing Bricks,Metal,2021
THYRZA,Nederlandstalig,2021
Tiziana,Hip Hop,2021
Total Seclusion,Punk,2021
Tres Navy,Hip Hop,2021
VULVA,Stonerrock,2021
Wowi,Hip Hop,2021
yoanne,Pop,2021
YoungRubbi,Punk,2021
YVES,Hip Hop,2021
Zoë Low,Pop,2021
A Minor Problem,Punk,2022
A. Johanson,Singer/songwriter,2022
AISHA,Pop,2022
all dogs go to heaven,Singer/songwriter,2022
Amina,Pop,2022
Baardvader,Stonerrock,2022
Babs,Hip Hop,2022
BARTH.,Klassiek,2022
BED,Psychedelic,2022
Bella Luna,Soul,2022
Ben Forte,Pop,2022
BLANKO,Rock,2022
Blondeau,Pop,2022
Boaz,Country,2022
BONNA NIKKI,Alternative,2022
Boter bij de Vis,Nederlandstalig,2022
BrooksJourney,Hip Hop,2022
Bumble B. Boy,Garage,2022
Cavolo Nero,Groove,2022
CHARLOT,Alternative,2022
Cirrus Minor,Stonerrock,2022
COW Shift Z,Electronica,2022
CYNN,Alternative,2022
Daniel Nolet,Pop,2022
Dayo,Nederlandstalig,2022
De Baron,Balkan beats,2022
De Toegift,Nederlandstalig,2022
Dogman,Alternative,2022
DUIMALOT,Hip Hop,2022
Eaters of the Soil,Metal,2022
Emile Lagarde,Singer/songwriter,2022
Eva Serena,Pop,2022
Faske,Nederlandstalig,2022
FENNE,Pop,2022
FIEP,Indie,2022
flut.,Punk,2022
Fred Goverde,Nederlandstalig,2022
FUZZY TEETH,Indie,2022
GEEL,Hip Hop,2022
Gijs,Hip Hop,2022
GREAT JOY,Punk,2022
Headfirst,Alternative,2022
Hiigo,Pop,2022
Hugo Remmen,Hip Hop,2022
Huub Prins,Pop,2022
IKIGA,Alternative,2022
Irene Hin,Pop,2022
IVYVOX,Rock,2022
Jacht,Indie,2022
Jaro,Electronica,2022
Jerry Island,Pop,2022
jet van der steen,Pop,2022
Johnny loves me,Pop,2022
JOLENE,Pop,2022
Just Big Hills,Trip hop,2022
Kai Needie,Indie,2022
Katie Koss,Pop,2022
Kiwi Club,Techno,2022
Knife Massage,Rock,2022
Lady Shaynah,R&B,2022
Lewis,Alternative,2022
Lisa Ploeger,Folk,2022
Liza Dries,Pop,2022
Luc Pustjens,Techno,2022
Malu,Pop,2022
Marathon,Post-Punk,2022
Mood Bored,Indie,2022
Mountain Eye,Metal,2022
Muylike,Indie,2022
Mystic,Hip Hop,2022
néomí,Folk,2022
Oliver Pesch,Singer/songwriter,2022
Penvriend,Folk,2022
Philine,Pop,2022
Poodle,Garage,2022
Q'n,Hip Hop,2022
Radeloos///Ziedend,Metal,2022
Rass King,Reggae,2022
Rats and Daggers,Punk,2022
REFORMIST,Metal,2022
Rose Marin,Americana,2022
Sammie Sedano,Pop,2022
Shaemless,Post-Punk,2022
Shalisa,Nederlandstalig,2022
Smitty,Hip Hop,2022
Solomon,Alternative,2022
Sophie van Hasselt,Pop,2022
Sven Ross,Singer/songwriter,2022
SWELL,Core,2022
SYNGA,R&B,2022
T-Shawn,Soul,2022
Talee,Electronica,2022
Terence Goodmann,Pop,2022
Thierry Ganz,Indie,2022
tiigre,Indie,2022
Tygo Ulta,Indie,2022
Wasted Youth Club,Garage,2022
Willem 't Hart,Electronica,2022
ZULU GREEN,Hip Hop,2022
5etra,Pop,2023
Abel,Hip Hop,2023
Abel Natürlich,Singer/songwriter,2023
Afu Sensi,Hip Hop,2023
Akuma Jin,Hip Hop,2023
ALOYSE,Folk,2023
AMAGUK,Psychedelic,2023
ANNE,Pop,2023
Astronaut,Nederlandstalig,2023
benoit,Hip Hop,2023
Bowl,Post-Punk,2023
Boy Pilgrim,Folk,2023
Cloud Cukkoo,Indie,2023
Cocobolo,Instrumentaal,2023
Daimy Lotus,Pop,2023
Daniel Brooke,Emo,2023
Daniël Tomàs,Neo Klassiek,2023
Djoeke,Singer/songwriter,2023
Dorpsstraat 3,New Wave,2023
Droom Dit,Nederlandstalig,2023
Elliot Boyd,Pop,2023
ELSA,Jazz,2023
ENMA,Metal,2023
FAY,Pop,2023
FEMME FUGAZI,Garage,2023
FRÉ,Pop,2023
GOOF,Pop,2023
Gyo Kretz,Pop,2023
Hiqpy,Alternative,2023
Historian,Rock,2023
HOOFS,Punk,2023
ii,Electronica,2023
IKNOWNOA,R&B,2023
Inge Lamboo,Pop,2023
Ioana Iorgu,Post-Punk,2023
James Burki,Pop,2023
Janet Livv,Pop,2023
Jarlentji,R&B,2023
Jeroen Antoine,Soul,2023
JesperJesper,Indie,2023
Jespfur,Alternative,2023
KABOUTERTJE PUTLUCHT,Dance,2023
Keenan Mundane,Hip Hop,2023
Laura Sjin,Nederlandstalig,2023
Leah Rye,Singer/songwriter,2023
Leela Rosa,Pop,2023
Liam Pek,Alternative,2023
Lola Cedès,Pop,2023
LoMalo,House,2023
Loveth Besamoh,Alternative,2023
Maartje,Nederlandstalig,2023
Marta Arpini,Indie,2023
Martin Jasper,Pop,2023
Maryn Charlie,Pop,2023
Max Hell,Indie,2023
Maya Shanti,Singer/songwriter,2023
MICHA,Singer/songwriter,2023
Minor Citizen,Alternative,2023
Moonloops,Indie,2023
Neroth,Metal,2023
Never Been To Berlin,Pop,2023
Nevin,Indie,2023
NEWT,Indie,2023
NOHMI,Jazz,2023
OATS,Punk,2023
Oh Whale,Indie,2023
Olivia Degen,Singer/songwriter,2023
Pale Puma,Indie,2023
Panda Noir,Pop,2023
Penny Roox,Pop,2023
Primaat,Nederlandstalig,2023
Radio Trapani,Indie,2023
Rommy Gabay,Soul,2023
Ruwhel & De Bigi Blues Band,Hip Hop,2023
Sachee,R&B,2023
Seewolf,Indie,2023
SEM,Pop,2023
SHAMZON,Global Sounds,2023
Sheyma,Electronica,2023
Silke Veld,Nederlandstalig,2023
STiCKFiGS,Punk,2023
SUBFICTION,Electronica,2023
Subterranean Street Society,Alternative,2023
THAMES,Post-Punk,2023
The Mocks,Garage,2023
The Super Soakers,Rock,2023
There You Go,Indie,2023
Tomas Ferdinand,Singer/songwriter,2023
Torn From Oblivion,Metal,2023
Toto Boroto,Garage,2023
Toverberg,Singer/songwriter,2023
VAIN LOUIE,Metal,2023
Velocity Made Good,Techno,2023
Wolfskers,Hip Hop,2023
Wynnm,Folk,2023
XA4,Instrumentaal,2023
Yaro Mila,Pop,2023
Ysa Bermejo,Electronica,2023
